# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e-04
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
501000          	2.42118828e+01	1.21188419e+01	1.20930409e+01	-2.58009592e-01	-3.33095221e+00	3.07294262e+00	-3.20194741e+00	1.29004796e-02	1.21059414e+00	1.33839287e-17	1.21059414e+00	-1.21059414e+00
502000          	1.98922879e+01	9.94681332e+00	9.94547454e+00	-1.33877649e-02	3.55544218e+00	-3.56882995e+00	3.56213607e+00	6.69388245e-04	9.94614393e-01	9.58663993e-18	9.94614393e-01	-9.94614393e-01
503000          	2.16656858e+01	1.07957291e+01	1.08699567e+01	7.42276225e-01	4.23711289e+00	-3.49483667e+00	3.86597478e+00	-3.71138112e-02	1.08328429e+00	6.90159527e-18	1.08328429e+00	-1.08328429e+00
504000          	2.32122145e+01	1.15906336e+01	1.16215809e+01	3.09472938e-01	-2.18164413e+00	2.49111706e+00	-2.33638059e+00	-1.54736469e-02	1.16061073e+00	6.35536601e-18	1.16061073e+00	-1.16061073e+00
505000          	1.90498767e+01	9.49335490e+00	9.55652179e+00	6.31668934e-01	-1.16642504e+01	1.22959193e+01	-1.19800849e+01	-3.15834467e-02	9.52493834e-01	1.21106961e-17	9.52493834e-01	-9.52493834e-01
506000          	2.41038250e+01	1.20825832e+01	1.20212418e+01	-6.13413816e-01	-1.72008103e+00	1.10666721e+00	-1.41337412e+00	3.06706908e-02	1.20519125e+00	1.32546349e-17	1.20519125e+00	-1.20519125e+00
507000          	2.07802045e+01	1.03898374e+01	1.03903672e+01	5.29775804e-03	3.88455012e+00	-3.87925236e+00	3.88190124e+00	-2.64887902e-04	1.03901023e+00	9.99988913e-18	1.03901023e+00	-1.03901023e+00
508000          	2.07593645e+01	1.03323170e+01	1.04270474e+01	9.47303866e-01	3.58957366e+00	-2.64226979e+00	3.11592173e+00	-4.73651933e-02	1.03796822e+00	7.85995598e-18	1.03796822e+00	-1.03796822e+00
509000          	2.36410003e+01	1.18067919e+01	1.18342084e+01	2.74165457e-01	2.78917649e-01	-4.75219179e-03	1.41834920e-01	-1.37082729e-02	1.18205002e+00	6.07707812e-18	1.18205002e+00	-1.18205002e+00
510000          	1.89453858e+01	9.41036715e+00	9.53501869e+00	1.24651540e+00	-1.46255834e+01	1.58720988e+01	-1.52488411e+01	-6.23257700e-02	9.47269292e-01	1.14676418e-17	9.47269292e-01	-9.47269292e-01
511000          	2.37137919e+01	1.18707157e+01	1.18430762e+01	-2.76395564e-01	-5.73861428e+00	5.46221871e+00	-5.60041649e+00	1.38197782e-02	1.18568960e+00	1.30683326e-17	1.18568960e+00	-1.18568960e+00
512000          	2.16162068e+01	1.07966744e+01	1.08195324e+01	2.28580232e-01	8.91812416e-01	-6.63232184e-01	7.77522300e-01	-1.14290116e-02	1.08081034e+00	1.04073394e-17	1.08081034e+00	-1.08081034e+00
513000          	1.99778129e+01	1.01134087e+01	9.86440420e+00	-2.49004526e+00	2.31876662e+01	-2.56777115e+01	2.44326888e+01	1.24502263e-01	9.98890647e-01	8.33492344e-18	9.98890647e-01	-9.98890647e-01
514000          	2.39384378e+01	1.19559562e+01	1.19824816e+01	2.65254223e-01	1.51845298e-01	1.13408925e-01	1.92181864e-02	-1.32627111e-02	1.19692189e+00	5.84189043e-18	1.19692189e+00	-1.19692189e+00
515000          	1.91750181e+01	9.55058851e+00	9.62442963e+00	7.38411199e-01	-1.15103926e+01	1.22488038e+01	-1.18795982e+01	-3.69205599e-02	9.58750907e-01	1.06426471e-17	9.58750907e-01	-9.58750907e-01
516000          	2.32624251e+01	1.16414554e+01	1.16209697e+01	-2.04857761e-01	-6.70752773e+00	6.50266996e+00	-6.60509884e+00	1.02428881e-02	1.16312125e+00	1.29495257e-17	1.16312125e+00	-1.16312125e+00
517000          	2.24591463e+01	1.12015983e+01	1.12575480e+01	5.59497544e-01	-3.73460487e+00	4.29410242e+00	-4.01435365e+00	-2.79748772e-02	1.12295731e+00	1.10360338e-17	1.12295731e+00	-1.12295731e+00
518000          	1.92078014e+01	9.55097282e+00	9.65682856e+00	1.05855736e+00	2.54421491e+00	-1.48565756e+00	2.01493624e+00	-5.29278679e-02	9.60390069e-01	9.63001134e-18	9.60390069e-01	-9.60390069e-01
519000          	2.40363812e+01	1.20147607e+01	1.20216204e+01	6.85971605e-02	3.30881864e+00	-3.24022148e+00	3.27452006e+00	-3.42985802e-03	1.20181906e+00	5.57885253e-18	1.20181906e+00	-1.20181906e+00
520000          	1.97464672e+01	9.86748188e+00	9.87898532e+00	1.15034342e-01	-4.05130943e+00	4.16634377e+00	-4.10882660e+00	-5.75171710e-03	9.87323360e-01	9.28661954e-18	9.87323360e-01	-9.87323360e-01
521000          	2.25143546e+01	1.12757588e+01	1.12385957e+01	-3.71631126e-01	-7.12304966e+00	6.75141854e+00	-6.93723410e+00	1.85815563e-02	1.12571773e+00	1.28015133e-17	1.12571773e+00	-1.12571773e+00
522000          	2.31299001e+01	1.15911340e+01	1.15387661e+01	-5.23679063e-01	1.90066598e+00	-2.42434505e+00	2.16250551e+00	2.61839531e-02	1.15649500e+00	1.16757134e-17	1.15649500e+00	-1.15649500e+00
523000          	1.87645445e+01	9.50034524e+00	9.26419924e+00	-2.36145993e+00	2.10030768e+01	-2.33645367e+01	2.21838068e+01	1.18072996e-01	9.38227224e-01	9.99754855e-18	9.38227224e-01	-9.38227224e-01
524000          	2.38303930e+01	1.19359444e+01	1.18944486e+01	-4.14957526e-01	6.48730161e+00	-6.90225913e+00	6.69478037e+00	2.07478763e-02	1.19151965e+00	5.49395836e-18	1.19151965e+00	-1.19151965e+00
525000          	2.05557130e+01	1.02871324e+01	1.02685806e+01	-1.85518153e-01	-1.06779212e+00	8.82273969e-01	-9.75033046e-01	9.27590766e-03	1.02778565e+00	8.20345071e-18	1.02778565e+00	-1.02778565e+00
526000          	2.15969066e+01	1.08407981e+01	1.07561085e+01	-8.46896222e-01	-5.96577247e+00	5.11887625e+00	-5.54232436e+00	4.23448111e-02	1.07984533e+00	1.27081225e-17	1.07984533e+00	-1.07984533e+00
527000          	2.36155890e+01	1.18289665e+01	1.17866225e+01	-4.23439536e-01	2.88687934e-01	-7.12127470e-01	5.00407702e-01	2.11719768e-02	1.18077945e+00	1.22765466e-17	1.18077945e+00	-1.18077945e+00
528000          	1.85619064e+01	9.36982166e+00	9.19208475e+00	-1.77736913e+00	1.55837811e+01	-1.73611503e+01	1.64724657e+01	8.88684563e-02	9.28095321e-01	9.88313657e-18	9.28095321e-01	-9.28095321e-01
529000          	2.34548233e+01	1.17186188e+01	1.17362045e+01	1.75856927e-01	4.25620476e+00	-4.08034783e+00	4.16827630e+00	-8.79284633e-03	1.17274116e+00	5.65960449e-18	1.17274116e+00	-1.17274116e+00
530000          	2.13986943e+01	1.06937487e+01	1.07049456e+01	1.11968547e-01	-3.25473924e+00	3.36670778e+00	-3.31072351e+00	-5.59842733e-03	1.06993471e+00	7.50458602e-18	1.06993471e+00	-1.06993471e+00
531000          	2.08341038e+01	1.03914450e+01	1.04426588e+01	5.12137791e-01	-1.34788469e+01	1.39909847e+01	-1.37349158e+01	-2.56068896e-02	1.04170519e+00	1.25977600e-17	1.04170519e+00	-1.04170519e+00
532000          	2.40209655e+01	1.20429034e+01	1.19780621e+01	-6.48413587e-01	1.37714214e+00	-2.02555573e+00	1.70134893e+00	3.24206794e-02	1.20104827e+00	1.28580615e-17	1.20104827e+00	-1.20104827e+00
533000          	1.88742892e+01	9.41650301e+00	9.45778622e+00	4.12832193e-01	3.16275038e-01	9.65571550e-02	1.09858942e-01	-2.06416097e-02	9.43714461e-01	9.76245307e-18	9.43714461e-01	-9.43714461e-01
534000          	2.28972954e+01	1.14418656e+01	1.14554298e+01	1.35641789e-01	6.60582567e+00	-6.47018389e+00	6.53800478e+00	-6.78208945e-03	1.14486477e+00	5.93148374e-18	1.14486477e+00	-1.14486477e+00
535000          	2.22036507e+01	1.10684042e+01	1.11352466e+01	6.68424386e-01	-5.48758174e+00	6.15600613e+00	-5.82179394e+00	-3.34212193e-02	1.11018254e+00	6.92643254e-18	1.11018254e+00	-1.11018254e+00
536000          	1.99690820e+01	9.94812700e+00	1.00209550e+01	7.28280295e-01	-1.26919390e+01	1.34202193e+01	-1.30560792e+01	-3.64140147e-02	9.98454102e-01	1.23447982e-17	9.98454102e-01	-9.98454102e-01
537000          	2.42242613e+01	1.21254943e+01	1.20987670e+01	-2.67272923e-01	-2.62018530e+00	2.35291237e+00	-2.48654884e+00	1.33636462e-02	1.21121307e+00	1.32984402e-17	1.21121307e+00	-1.21121307e+00
538000          	1.95189636e+01	9.74441729e+00	9.77454635e+00	3.01290626e-01	1.17968526e+00	-8.78394633e-01	1.02903995e+00	-1.50645313e-02	9.75948182e-01	9.56081312e-18	9.75948182e-01	-9.75948182e-01
539000          	2.20742694e+01	1.10290840e+01	1.10451854e+01	1.61013965e-01	5.91629044e+00	-5.75527648e+00	5.83578346e+00	-8.05069824e-03	1.10371347e+00	6.56704051e-18	1.10371347e+00	-1.10371347e+00
540000          	2.29413367e+01	1.14932262e+01	1.14481105e+01	-4.51157599e-01	2.27728212e+00	-2.72843972e+00	2.50286092e+00	2.25578799e-02	1.14706683e+00	6.45937579e-18	1.14706683e+00	-1.14706683e+00
541000          	1.92116739e+01	9.58082257e+00	9.63085131e+00	5.00287331e-01	-1.19334362e+01	1.24337235e+01	-1.21835798e+01	-2.50143666e-02	9.60583694e-01	1.21382876e-17	9.60583694e-01	-9.60583694e-01
