Time,Cd,Cd(f),Cd(r),Cl,Cl(f),Cl(r),CmPitch,CmRoll,CmYaw,Cs,Cs(f),Cs(r)
0.0069,1.23062274e+00,6.14629306e-01,6.15993435e-01,1.36412874e-02,7.20488276e-03,6.43640463e-03,3.84239067e-04,-6.82064369e-04,6.15311371e-02,-8.38800384e-20,6.15311371e-02,-6.15311371e-02
0.007,1.23021799e+00,6.14289532e-01,6.15928462e-01,1.63892968e-02,8.56957116e-03,7.81972565e-03,3.74922757e-04,-8.19464840e-04,6.15108997e-02,-8.40798020e-20,6.15108997e-02,-6.15108997e-02
0.0071,1.22996625e+00,6.14054517e-01,6.15911728e-01,1.85721107e-02,9.63891131e-03,8.93319939e-03,3.52855964e-04,-9.28605535e-04,6.14983123e-02,-8.42019865e-20,6.14983123e-02,-6.14983123e-02
0.0072,1.22969215e+00,6.13830346e-01,6.15861808e-01,2.03146149e-02,1.04748698e-02,9.83974505e-03,3.17562386e-04,-1.01573074e-03,6.14846077e-02,-8.42657296e-20,6.14846077e-02,-6.14846077e-02
0.0073,1.22946376e+00,6.13678919e-01,6.15784846e-01,2.10592710e-02,1.08006938e-02,1.02585773e-02,2.71058245e-04,-1.05296355e-03,6.14731882e-02,-8.42410772e-20,6.14731882e-02,-6.14731882e-02
0.0074,1.22908002e+00,6.13520556e-01,6.15559460e-01,2.03890446e-02,1.04106258e-02,9.97841885e-03,2.16103464e-04,-1.01945223e-03,6.14540008e-02,-8.41042175e-20,6.14540008e-02,-6.14540008e-02
0.0075,1.22871805e+00,6.13439663e-01,6.15278389e-01,1.83872603e-02,9.35000484e-03,9.03725548e-03,1.56374675e-04,-9.19363016e-04,6.14359026e-02,-8.38493508e-20,6.14359026e-02,-6.14359026e-02
0.0076,1.22829172e+00,6.13373518e-01,6.14918202e-01,1.54468409e-02,7.82108958e-03,7.62575128e-03,9.76691471e-05,-7.72342043e-04,6.14145860e-02,-8.34983254e-20,6.14145860e-02,-6.14145860e-02
0.0077,1.22774860e+00,6.13306809e-01,6.14441795e-01,1.13498633e-02,5.72049989e-03,5.62936339e-03,4.55682522e-05,-5.67493164e-04,6.13874302e-02,-8.30441092e-20,6.13874302e-02,-6.13874302e-02
0.0078,1.22749452e+00,6.13420929e-01,6.14073590e-01,6.52661730e-03,3.26925392e-03,3.25736338e-03,5.94526678e-06,-3.26330865e-04,6.13747260e-02,-8.25526298e-20,6.13747260e-02,-6.13747260e-02
0.0079,1.22700386e+00,6.13435788e-01,6.13568069e-01,1.32280975e-03,6.45311019e-04,6.77498733e-04,-1.60938572e-05,-6.61404876e-05,6.13501929e-02,-8.20290987e-20,6.13501929e-02,-6.13501929e-02
0.008,1.22640908e+00,6.13412254e-01,6.12996825e-01,-4.15428586e-03,-2.09373474e-03,-2.06055112e-03,-1.65918106e-05,2.07714293e-04,6.13204540e-02,-8.13487000e-20,6.13204540e-02,-6.13204540e-02
0.0081,1.22597105e+00,6.13450817e-01,6.12520237e-01,-9.30580565e-03,-4.64629401e-03,-4.65951164e-03,6.60881631e-06,4.65290283e-04,6.12985527e-02,-8.08046311e-20,6.12985527e-02,-6.12985527e-02
0.0082,1.22567503e+00,6.13514141e-01,6.12160892e-01,-1.35324809e-02,-6.71204386e-03,-6.82043707e-03,5.41966061e-05,6.76624047e-04,6.12837516e-02,-8.03766321e-20,6.12837516e-02,-6.12837516e-02
0.0083,1.22555672e+00,6.13570671e-01,6.11986050e-01,-1.58462152e-02,-7.79817613e-03,-8.04803912e-03,1.24931494e-04,7.92310762e-04,6.12778361e-02,-8.01870907e-20,6.12778361e-02,-6.12778361e-02
0.0084,1.22510819e+00,6.13366674e-01,6.11741518e-01,-1.62515621e-02,-7.91187096e-03,-8.33969115e-03,2.13910097e-04,8.12578106e-04,6.12554096e-02,-8.01086203e-20,6.12554096e-02,-6.12554096e-02
0.0085,1.22497761e+00,6.13210155e-01,6.11767457e-01,-1.44269776e-02,-6.89776405e-03,-7.52921351e-03,3.15724731e-04,7.21348878e-04,6.12488806e-02,-8.02566082e-20,6.12488806e-02,-6.12488806e-02
0.0086,1.22469889e+00,6.12828680e-01,6.11870205e-01,-9.58475171e-03,-4.37063121e-03,-5.21412050e-03,4.21744646e-04,4.79237585e-04,6.12349443e-02,-8.05794293e-20,6.12349443e-02,-6.12349443e-02
0.0087,1.22466144e+00,6.12491360e-01,6.12170084e-01,-3.21276756e-03,-1.08217728e-03,-2.13059029e-03,5.24206503e-04,1.60638378e-04,6.12330722e-02,-8.12076761e-20,6.12330722e-02,-6.12330722e-02
0.0088,1.22425151e+00,6.11876219e-01,6.12375296e-01,4.99077481e-03,3.10727295e-03,1.88350186e-03,6.11885544e-04,-2.49538741e-04,6.12125757e-02,-8.20736758e-20,6.12125757e-02,-6.12125757e-02
0.0089,1.22390886e+00,6.11220089e-01,6.12688770e-01,1.46868092e-02,8.01727855e-03,6.66953065e-03,6.73873951e-04,-7.34340460e-04,6.11954429e-02,-8.29376516e-20,6.11954429e-02,-6.11954429e-02
0.009,1.22375199e+00,6.10657483e-01,6.13094510e-01,2.43702709e-02,1.28862113e-02,1.14840597e-02,7.01075795e-04,-1.21851355e-03,6.11875996e-02,-8.37285019e-20,6.11875996e-02,-6.11875996e-02
0.0091,1.22392341e+00,6.10275774e-01,6.13647636e-01,3.37186162e-02,1.75461308e-02,1.61724853e-02,6.86822743e-04,-1.68593081e-03,6.11961705e-02,-8.41963614e-20,6.11961705e-02,-6.11961705e-02
0.0092,1.22415777e+00,6.09992130e-01,6.14165639e-01,4.17350936e-02,2.14948664e-02,2.02402272e-02,6.27319613e-04,-2.08675468e-03,6.12078885e-02,-8.51793410e-20,6.12078885e-02,-6.12078885e-02
0.0093,1.22417747e+00,6.09747895e-01,6.14429577e-01,4.68168289e-02,2.39327773e-02,2.28840515e-02,5.24362906e-04,-2.34084144e-03,6.12088736e-02,-8.51285551e-20,6.12088736e-02,-6.12088736e-02
0.0094,1.22413272e+00,6.09661362e-01,6.14471354e-01,4.80999255e-02,2.44340224e-02,2.36659031e-02,3.84059604e-04,-2.40499627e-03,6.12066358e-02,-8.48201328e-20,6.12066358e-02,-6.12066358e-02
0.0095,1.22435825e+00,6.09886691e-01,6.14471558e-01,4.58486694e-02,2.31427947e-02,2.27058748e-02,2.18459932e-04,-2.29243347e-03,6.12179124e-02,-8.45068799e-20,6.12179124e-02,-6.12179124e-02
0.0096,1.22455894e+00,6.10309267e-01,6.14249668e-01,3.94040132e-02,1.97407326e-02,1.96632807e-02,3.87259359e-05,-1.97020066e-03,6.12279468e-02,-8.43781422e-20,6.12279468e-02,-6.12279468e-02
0.0097,1.22454474e+00,6.10814226e-01,6.13730512e-01,2.91628550e-02,1.44426122e-02,1.47202428e-02,-1.38815314e-04,-1.45814275e-03,6.12272369e-02,-8.29537268e-20,6.12272369e-02,-6.12272369e-02
0.0098,1.22519133e+00,6.11820696e-01,6.13370635e-01,1.54993958e-02,7.45381195e-03,8.04558386e-03,-2.95885954e-04,-7.74969791e-04,6.12595665e-02,-8.18422577e-20,6.12595665e-02,-6.12595665e-02
0.0099,1.22584550e+00,6.12902858e-01,6.12942638e-01,3.97801367e-04,-2.15794228e-04,6.13595595e-04,-4.14694911e-04,-1.98900684e-05,6.12922748e-02,-8.03549538e-20,6.12922748e-02,-6.12922748e-02
